gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,neg_log10_padj
SAPCD2,15.235783723862012,1.2778545307041103,0.17667498413000016,7.2327983330330765,4.731417502794761e-13,4.5302614293226484e-11,10.34387673528602
COL9A3,9.335295132187968,2.8814311575358458,0.3987162015660914,7.2267721908918165,4.946087508665969e-13,4.707615432355289e-11,10.327199022130138
A2M-AS1,10.745279367072587,-1.174196017534476,0.16250590775561854,-7.225558958141195,4.990449011232564e-13,4.721732526012349e-11,10.325898618224462
CFH,14.33560163473118,-1.2972803563114281,0.17982655225597408,-7.2140645529633165,5.430599111726537e-13,5.107957635088666e-11,10.291752713390517
GAS7,6.366551727154879,-1.1677837805190743,0.16195176192676677,-7.210688952227247,5.56694884760944e-13,5.205585501361108e-11,10.283530415873024
BTK,2.322058408750061,-1.4559209890849967,0.2020523237478729,-7.205663177136926,5.776202483388875e-13,5.369853355196983e-11,10.270037574244272
NCOA6,14.799307218483067,0.6249499921052487,0.08677046296327091,7.2023355732213155,5.918979964228824e-13,5.4707797472843295e-11,10.261950769496801
EMILIN1,47.669198926184436,-1.2428129033646165,0.1725860117284633,-7.201121869134941,5.971914003877781e-13,5.487983041494582e-11,10.260587239319655
SPC25,6.6854766551256235,1.0021215895129103,0.13928136791624954,7.194943620280137,6.248657991304977e-13,5.70948807319809e-11,10.243402829924397
MAP3K3,9.143843717504089,-0.6796744090522896,0.09449979513727454,-7.192337380890242,6.369140637643707e-13,5.786509022495618e-11,10.237583365375649
CD27,11.954772490673898,-1.5670900763069227,0.21791913758831943,-7.191153992484042,6.424597011725495e-13,5.8039156055079474e-11,10.236278911246135
TGFB3,6.559311747769283,-1.3618367093271329,0.18942647975550123,-7.189262615685509,6.514217119670041e-13,5.851816390085616e-11,10.232709309003258
ITGA5,48.78737935918306,-1.2363758651496215,0.17207220362959644,-7.185215502970201,6.71012616483942e-13,5.994129462334207e-11,10.22227388131527
FAM49A,3.0198334774265936,-1.0875854644571739,0.15164385178038217,-7.171972036375513,7.39250446631105e-13,6.567008134239649e-11,10.182632445772219
LIX1L,13.11095882771137,-1.0604226746764907,0.14803118696127746,-7.163508558192403,7.8637950914686e-13,6.947076437159277e-11,10.158197922652366
CD19,2.8643459172065064,-2.5138564475183243,0.35101741315120555,-7.161628891713832,7.972400504254929e-13,7.00432330016683e-11,10.154633816295332
NGFR,6.305299738348877,-2.540549713066684,0.3547833308730888,-7.160848585570881,8.01791710225759e-13,7.005819369677534e-11,10.154541064244075
EIF2S2,37.56096693359942,0.6219410530650822,0.08687065302991383,7.159391939311396,8.103569303500861e-13,7.042177889292325e-11,10.15229300860945
VIM,433.1185336782376,-0.9472627747764073,0.13238628116678464,-7.155294086575437,8.349373092135515e-13,7.216566256391724e-11,10.141669396699799
MEOX1,2.1468869478450734,-1.542810476626641,0.2157366005583127,-7.151361765384014,8.592121817832016e-13,7.386453111136233e-11,10.131564054709637
GPR133,2.514385786719291,-1.5133985100907954,0.21168670902262546,-7.14923727180737,8.726138748127131e-13,7.46154858730229e-11,10.12717102867683
FAM136A,26.781286992099417,0.557438623201217,0.07798173591927712,7.148322830082292,8.784453025436644e-13,7.471457653017657e-11,10.126594660714026
