index,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,E2F Targets,0.7943293481001015,3.317506037436517,0.0,0.0,0.0,146/200,10.12%,AURKA;CCNE1;TOP2A;CSE1L;SPAG5;MYBL2;DSCC1;ATAD2;KIF2C;GINS1;CKS1B;CDK1;UBE2T;MELK;SPC25;KIF4A;ORC6;TRIP13;RFC3;CDKN2A;KIF18B;RACGAP1;TIMELESS;MSH2;DEPDC1;PLK4;MCM7;BIRC5;CDCA3;CCNB2;CDC20;TCF19;CDCA8;RAD21;RAD51AP1;BUB1B;TMPO;DLGAP5;TUBG1;DONSON;MMS22L;HMMR;ESPL1;MAD2L1;BRCA1;PSMC3IP;KPNA2;KIF22;E2F8;SNRPB;CENPE;RAD1;XPO1;SMC4;PLK1;CDC25A;BRCA2;CDC25B;PRIM2;MCM3;MCM4;AURKB;CIT;MTHFD2;PA2G4;ASF1B;RPA3;PCNA;STMN1;NOP56;HMGB3;CHEK1;TK1;CKS2;EZH2;GINS4;PTTG1;CHEK2;CTPS1;POLD2;UBE2S;CDKN3;TBRG4;NASP;DIAPH3;NUP107;RFC2;MKI67;MCM6;TACC3;POP7;SPC24;CNOT9;POLE;NCAPD2;ANP32E;ORC2;USP1;RRM2;SLBP;BARD1;MCM2;NME1;POLA2;PAICS;SRSF1;RAN;SSRP1;TIPIN;MRE11;UNG;LIG1;ZW10;LYAR;SMC3;DEK;HELLS;PAN2;SRSF2;ILF3;RANBP1;NUP205;EXOSC8;AK2;NOLC1;PRKDC;DDX39A;GINS3;TFRC;HMGA1;CENPM;H2AZ1;SUV39H1;POLD1;CDK4;SMC6;HUS1;JPT1;H2AX;NUP153;HMGB2;POLD3;DCLRE1B;SHMT1;WDR90;DCTPP1
1,prerank,Epithelial Mesenchymal Transition,-0.6537862692171038,-3.1823849660595,0.0,0.0,0.0,120/200,13.13%,SLIT3;ABI3BP;DCN;CALD1;SFRP1;TPM1;WIPF1;PTX3;FERMT2;FLNA;RHOB;MYLK;FSTL1;TNC;ACTA2;COL6A2;SGCD;DPYSL3;MYL9;ITGB3;ITGA5;ECM2;TPM2;LAMA2;TAGLN;SLIT2;IGFBP4;GLIPR1;GAS1;PCOLCE;MGP;FBLN1;EMP3;COL6A3;VIM;FGF2;CXCL12;CAP2;EFEMP2;FBLN5;GEM;PMP22;FBN1;COL3A1;SGCB;CDH11;THY1;LUM;TIMP3;FBLN2;LGALS1;PDGFRB;VCAM1;PRRX1;ELN;MATN2;TGFBR3;FAS;VEGFC;MFAP5;GREM1;CCN1;GJA1;CCN2;LOX;BASP1;NNMT;COL4A2;TGFB1;SNAI2;GPX7;TIMP1;TGFBI;THBS1;CRLF1;PDLIM4;MAGEE1;COL8A2;RGS4;COL1A2;NOTCH2;COL5A1;SPARC;COL16A1;DAB2;LRP1;MMP2;SFRP4;COL1A1;JUN;BGN;FZD8;SCG2;HTRA1;LOXL1;IL15;VCAN;NID2;TFPI2;GADD45B;SPOCK1;SGCG;IL6;THBS2;COL5A2;DST;FN1;FMOD;EDIL3;PCOLCE2;FAP;COL4A1;CD44;GADD45A;SERPINE2;ANPEP;PTHLH;CD59;ITGAV;LAMC1
2,prerank,Myogenesis,-0.619183176912855,-3.0030215649482495,0.0,0.0,0.0,87/199,9.39%,CFD;PYGM;MEF2C;ITGA7;CKMT2;SMTN;FHL1;LDB3;IGF1;PTGIS;COX7A1;MYLK;CRYAB;COL6A2;SVIL;CASQ1;SGCD;TPM2;SORBS1;GSN;LAMA2;GNAO1;CD36;DMD;HSPB8;TAGLN;DMPK;EFS;SPEG;MRAS;MYH11;LSP1;COL6A3;FGF2;GPX3;CACNA1H;SGCA;IGFBP7;SCHIP1;SOD3;TNNT3;SSPN;COL15A1;PKIA;WWTR1;PDLIM7;COL3A1;DES;PVALB;CASQ2;MYL4;DTNA;MEF2A;PRNP;ACTA1;SH3BGR;HSPB2;DENND2B;CNN3;PPP1R3C;MYOM1;REEP1;APLNR;COL4A2;TGFB1;FXYD1;HRC;NCAM1;SPARC;ADCY9;MEF2D;APOD;NOS1;MYH9;COL1A1;GJA5;CKB;MYO1C;KCNH2;ACTN2;CTF1;CLU;AEBP1;GADD45B;TSC2;FOXO4;SGCG
3,prerank,Myc Targets V1,0.7055943000618908,2.9497065827843203,0.0,0.0,0.0,136/200,18.64%,EIF2S2;HDGF;RFC4;PSMA7;PSMD14;MCM7;SNRPA1;HSP90AB1;EIF3B;ILF2;CDC20;PSMD3;CCT3;HSPD1;CDK2;CDC45;ACP1;MAD2L1;XPOT;KPNA2;SNRPG;XPO1;CCT5;CBX3;SET;MCM4;HSPE1;GLO1;SSB;SNRPD1;PA2G4;DDX18;PCNA;NOP56;CCNA2;TCP1;HNRNPA2B1;TARDBP;PSMB3;CTPS1;POLD2;STARD7;CCT4;UBA2;CSTF2;HDAC2;MCM6;PTGES3;POLE3;PSMC4;BUB3;ORC2;USP1;PPM1G;MRPL9;DDX21;MCM2;NME1;EPRS1;CLNS1A;SRSF1;ABCE1;SF3B3;KPNB1;RAN;ODC1;HNRNPU;PPIA;AIMP2;SRPK1;RUVBL2;MRPS18B;RRM1;PSMB2;DEK;DHX15;TRIM28;RRP9;CCT7;VBP1;NCBP2;SRSF2;GNL3;RANBP1;HPRT1;NOLC1;PSMC6;CCT2;TFDP1;CANX;CAD;IARS1;SRSF7;FBL;TYMS;H2AZ1;CDK4;PRPF31;PSMA2;PSMA4;COPS5;SNRPB2;LSM2;HNRNPR;PGK1;PABPC1;SERBP1;PRDX3;PRDX4;SRSF3;SNRPD2;PHB;RNPS1;IFRD1;SNRPA;APEX1;PSMA1;CYC1;PWP1;ERH;PRPS2;PSMD8;LDHA;RAD23B;NOP16;NCBP1;KARS1;SRM;GSPT1;YWHAE;TRA2B;TOMM70;YWHAQ;HNRNPC;PSMD1;MRPL23
4,prerank,G2-M Checkpoint,0.7039827256360869,2.9429462313982113,0.0,0.0,0.0,119/200,8.80%,UBE2C;AURKA;TPX2;TOP2A;CDC6;E2F1;TRAIP;TROAP;NEK2;CENPA;MYBL2;KIF23;KIF2C;CKS1B;CDK1;BUB1;RBL1;TTK;KIF4A;ORC6;TOP1;RAD54L;RACGAP1;DBF4;NDC80;PLK4;BIRC5;KIF15;CCNB2;POLQ;CDC20;DTYMK;SQLE;CENPF;EXO1;FBXO5;E2F3;STIL;CDC45;RAD21;PRC1;TMPO;HMMR;SMC2;ESPL1;MAD2L1;KPNA2;KIF22;CENPE;XPO1;CCNF;SMC4;PLK1;ODF2;CDC25A;BRCA2;CDC25B;PRIM2;DKC1;MCM3;AURKB;SNRPD1;STMN1;CCNA2;HMGB3;CHEK1;NCL;KIF20B;KIF11;CKS2;EZH2;PTTG1;UBE2S;CDKN3;PBK;LIG3;NSD2;NASP;GINS2;MKI67;MCM6;TACC3;KNL1;POLE;BUB3;TENT4A;H2BC12;BARD1;E2F2;SRSF10;MCM2;POLA2;SRSF1;KPNB1;INCENP;ODC1;HNRNPU;SLC7A5;CDC7;ORC5;SRSF2;ILF3;NOLC1;DDX39A;CCND1;HOXC10;TFDP1;HMGA1;CUL4A;SFPQ;H2AZ1;SUV39H1;RBM14;FANCC;CDK4;HUS1;JPT1;H2AX;AMD1
5,prerank,UV Response Dn,-0.5974962677703328,-2.7756419216284387,0.0,0.0,0.0,74/144,12.17%,PRKAR2B;CELF2;ATP2B4;SYNE1;DLC1;LPAR1;CDON;ITGB3;MAP1B;PTGFR;EFEMP1;KCNMA1;LTBP1;CITED2;AKT3;MAGI2;PIK3CD;AMPH;CAP2;FBLN5;RBPMS;PTPRM;SCHIP1;IGFBP5;DUSP1;PMP22;NR3C1;COL3A1;PDGFRB;PRDM2;SDC2;TGFBR3;TGFBR2;CCN1;PTEN;GJA1;MMP16;SPOP;NFIB;ATXN1;KIT;PTPN21;SNAI2;PDLIM5;PRKCE;RGS4;COL1A2;NOTCH2;ARHGEF9;DAB2;PIK3R3;ADGRL2;BMPR1A;COL1A1;FYN;VLDLR;CAV1;PLPP3;NRP1;GRK5;ATRX;FHL2;HAS2;MAP2K5;KALRN;ZMIZ1;AGGF1;MT1E;COL5A2;CDKN1B;NFKB1;DYRK1A;WDR37;NEK7
6,prerank,Allograft Rejection,-0.5521852777251529,-2.640144729417444,0.0,0.0,0.0,108/200,16.20%,PRKCB;ELANE;MAP4K1;WAS;FLNA;IL16;CD79A;SIT1;CD1D;NCF4;CCL19;CFP;HCLS1;ITK;LY86;PTPRC;HLA-DOB;LTB;CXCL13;ITGAL;THY1;CD3D;ST8SIA4;FCGR2B;CXCR3;CCND2;CD40LG;CD28;CD3E;APBB1;CD247;FAS;CCL22;CD3G;STAB1;TLR3;CCR5;TRAT1;GPR65;ETS1;TLR6;CD8A;SOCS5;SPI1;CRTAM;TGFB1;HLA-DQA1;TIMP1;CD96;SRGN;ITGB2;TLR1;PTPN6;CCR2;CCL5;ZAP70;GBP2;FYB1;CD2;CARTPT;IL10;NLRP3;CD4;CD74;IL2RB;F2R;IRF4;IL15;IGSF6;IL12RB1;KLRD1;STAT4;IL12B;CCL11;HLA-DMB;HLA-DOA;FGR;RPL9;CSF1;IL2;NCK1;HLA-DRA;CCL2;LCP2;IL6;JAK2;ICOSLG;RPS9;CCL13;B2M;IL2RG;FASLG;IL4R;IL27RA;LCK;HLA-DMA;CCL4;RPS3A;CD86;PSMB10;HLA-E;ACVR2A;GZMA;CSK;SOCS1;PRF1;KRT1;CCR1
7,prerank,Myc Targets V2,0.720823534400549,2.5493569472309785,0.0,0.0,0.0,42/58,13.25%,PLK4;SLC29A2;TMEM97;HSPD1;BYSL;PRMT3;PLK1;CBX3;MCM4;HSPE1;PA2G4;DDX18;NOP56;WDR43;PUS1;MPHOSPH10;TBRG4;TFB2M;EXOSC5;AIMP2;UNG;MRTO4;UTP20;SORD;RRP9;SLC19A1;SUPV3L1;GNL3;NOLC1;WDR74;HK2;NIP7;CDK4;RRP12;DCTPP1;TCOF1;IPO4;LAS1L;NOC4L;PPRC1;PHB;IMP4
8,prerank,Inflammatory Response,-0.4978824213064583,-2.446034545002669,0.0,0.0,0.0,84/199,13.33%,NMUR1;LPAR1;IL10RA;TACR1;CCR7;ITGB3;ITGA5;EBI3;CD48;IL1R1;SELL;EMP3;PTGIR;GPR183;CD69;PDE4B;LTA;BDKRB1;VIP;CMKLR1;BTG2;CCL22;STAB1;TLR3;ABCA1;CALCRL;CCL17;SLC28A2;SLAMF1;PIK3R5;GP1BA;APLNR;IL7R;P2RX7;TIMP1;PTAFR;C5AR1;GPR132;TLR1;CCL5;KCNA3;IL10;SCARF1;NLRP3;PDPN;SGMS2;IL2RB;KLF6;RGS1;SCN1B;CD14;IL15;RHOG;CHST2;C3AR1;FPR1;GABBR1;IL12B;SELE;CYBB;TNFRSF9;HAS2;CSF1;TNFRSF1B;AXL;PCDH7;PTGER2;RASGRP1;CCL2;LCP2;MSR1;IL6;HBEGF;ICOSLG;NFKB1;HRH1;CXCR6;NFKBIA;TNFSF9;CDKN1A;IL4R;BEST1;ADGRE1;LCK
9,prerank,mTORC1 Signaling,0.5910765338241513,2.44545914389837,0.0,0.0,0.0,112/200,17.27%,AURKA;CCT6A;EIF2S2;BUB1;STIP1;PSMD14;PNO1;CACYBP;TMEM97;TRIB3;SQLE;HSPD1;PSPH;DHCR7;TUBG1;SLC1A5;CCNF;PLK1;CDC25A;MCM4;HSPE1;MTHFD2;PSME3;G6PD;HSP90B1;IDH1;TOMM40;HSPA5;PSMC4;RRM2;DDIT3;ARPC5L;UCHL5;PSAT1;MCM2;EPRS1;NUFIP1;ACSL3;HMGCS1;PPIA;SLC7A5;SLC37A4;UNG;GMPS;SORD;SLC2A1;RRP9;PRDX1;NUP205;HPRT1;HMBS;PSMC6;SRD5A1;CYB5B;PSMD12;IDI1;DDX39A;PDAP1;TFRC;YKT6;ACLY;HK2;MTHFD2L;CANX;CYP51A1;SHMT2;RPN1;TXNRD1;PSMD13;CALR;DHCR24;PSMC2;ACACA;ATP2A2;TCEA1;SC5D;PSMB5;SEC11A;PSMA4;ERO1A;SCD;PSMA3;COPS5;GTF2H1;PSMG1;EEF1E1;P4HA1;PGK1;NFKBIB;UFM1;ENO1;EBP;POLR3G;TM7SF2;HSPA9;SLC7A11;XBP1;IFRD1;GPI;GLA;NMT1;IMMT;RDH11;TBK1;FKBP2;LDHA;PPA1;PHGDH;RAB1A;TPI1;SDF2L1;ABCF2
