TF,mean_CIN,mean_GS,diff_CIN_vs_GS,stat,pvalue,padj
GLI1,1.8049801313926797,2.6735524536167543,-0.8685723222240747,-10.653004979865866,9.195403170154942e-19,2.7402301447061725e-16
NR2C2,17.840602698738817,16.993141864662736,0.847460834076081,9.79320621709575,4.6164929840072535e-17,6.878574546170808e-15
E2F3,6.515438453305311,5.232362834412197,1.2830756188931138,9.281880939097324,1.156954708523656e-14,1.1492416771334983e-12
TP53,24.8261179927882,26.5784043387526,-1.7522863459644,-8.719764432582371,2.4415439180918902e-14,1.8189502189784581e-12
MEF2C,11.035771981825643,12.592678200548946,-1.5569062187233023,-8.758423649415693,1.3265665757960405e-13,7.906336791744402e-12
STAT5B,12.700509785697319,14.009531077725661,-1.3090212920283424,-8.44722102466325,3.3411474963306355e-13,1.6594365898442158e-11
RUNX1,29.73310283944414,31.973608154929057,-2.240505315484917,-8.175050324247874,8.141965130542413e-13,3.466150869859485e-11
ZHX2,7.252283138547269,7.728989500265704,-0.47670636171843483,-8.018294877357016,1.5271211411020136e-12,4.8167556939969027e-11
EBF1,14.844789710030003,16.415122232207732,-1.5703325221777291,-8.249718788787312,1.5410916942933797e-12,4.8167556939969027e-11
E2F4,42.285664117433065,39.719665813857496,2.5659983035755687,8.168129865364895,1.6163609711399002e-12,4.8167556939969027e-11
TFDP1,15.903777070881066,14.55168258264246,1.3520944882386061,8.084927918229171,2.4122859303954924e-12,6.535101884162333e-11
E2F2,7.821328605690881,6.399161883100243,1.4221667225906378,8.063458764449232,2.931289785024777e-12,7.279369632811529e-11
MEF2A,17.75507934223515,19.83154029612217,-2.076460953887022,-8.203774492866321,3.352689966831097e-12,7.685397000889745e-11
IRF4,11.56501762830122,13.371124917215317,-1.806107288914097,-8.007529991265226,4.340959071001771e-12,9.240041451132341e-11
TP73,7.852237535223781,8.423541154176414,-0.5713036189526326,-7.58708138687481,5.989224321942898e-12,1.1898592319593223e-10
TAL1,32.98023011983793,35.66223711356604,-2.682006993728116,-7.86443269034255,6.948954930812119e-12,1.235726018029715e-10
STAT5A,9.71597684289234,10.559640247720354,-0.843663404828014,-7.851785949914758,7.049443727015153e-12,1.235726018029715e-10
PKNOX1,8.992041141340207,9.810509424578425,-0.818468283238218,-7.8651423400868135,1.4617719432400767e-11,2.3261867525350422e-10
SIX2,7.860895570177216,9.110246210366627,-1.2493506401894114,-7.757246419178251,1.4831392046364363e-11,2.3261867525350422e-10
ZEB2,10.57902063303513,11.964034771839657,-1.385014138804527,-7.7736196925666645,1.7938204578053295e-11,2.672792482129941e-10
EOMES,4.421638855010658,5.522288038018893,-1.100649183008235,-7.599116789745312,3.195025281980794e-11,4.533893019191794e-10
SPI1,35.103016947163184,38.41077926653907,-3.3077623193758896,-7.4653147050769615,3.796887621984287e-11,4.928564756246793e-10
NFKB2,12.052515571317745,13.027052565308951,-0.9745369939912063,-7.326082591428072,3.803925818579739e-11,4.928564756246793e-10
RELB,13.127769541277742,14.3966558419036,-1.2688863006258586,-7.2577874784245315,4.9524450921184413e-11,6.149285989380398e-10
RUNX2,10.401583443243183,11.490009895841398,-1.088426452598215,-7.239905176091406,8.06835353651301e-11,9.076551009672276e-10
BHLHE22,8.73644987627299,9.906137710102177,-1.1696878338291867,-7.323268864939113,8.110990296911899e-11,9.076551009672276e-10
ETV1,9.326517315520567,9.925651664157739,-0.5991343486371719,-7.086112838227687,8.223720713461457e-11,9.076551009672276e-10
THAP11,18.23188283884123,17.74269349520864,0.4891893436325887,7.168559937428368,9.413998036630469e-11,1.001918362469957e-09
TWIST1,9.5830976686631,10.636774893759528,-1.0536772250964273,-7.305432783851649,9.815273628972857e-11,1.0086039798047971e-09
TEAD2,9.749764970079658,10.53626169915164,-0.7864967290719811,-7.194344089993778,1.3892908768343107e-10,1.3800289376554154e-09
ATF3,7.8387055238982875,8.289593208456532,-0.4508876845582446,-6.9344035947051585,2.7081802783553434e-10,2.592040417654803e-09
TCF12,17.818895072017956,19.31471995145278,-1.4958248794348243,-7.157012778537943,2.7833991062065e-10,2.592040417654803e-09
GATA2,33.977649772647794,37.10045562637186,-3.122805853724067,-7.112522127721842,2.92563502000847e-10,2.6419370786743156e-09
NR2F2,8.38276882169798,9.694860978000426,-1.3120921563024464,-7.163720271508618,3.678509747060877e-10,3.1602594452105877e-09
FOXP2,7.713803393923033,8.383431584206797,-0.6696281902837633,-6.909829689361916,3.7117141135023684e-10,3.1602594452105877e-09
ERG,13.974727991104928,15.019566682474485,-1.0448386913695575,-7.042310425493388,3.86429316403259e-10,3.198776008004755e-09
BACH2,11.20558864978818,11.911858241310574,-0.7062695915223944,-7.071615569852028,4.460946174965036e-10,3.5928701625394078e-09
SOX10,4.683307194161172,5.754280948365086,-1.070973754203914,-6.97157209299931,5.205600163995794e-10,4.024825642565768e-09
SOX6,8.91834174137136,9.525664833721294,-0.6073230923499331,-6.7777868705115045,5.26738926376057e-10,4.024825642565768e-09
SRF,21.98554170710574,24.590377855743277,-2.6048361486375384,-7.083502258652893,6.013668680063867e-10,4.396207289591714e-09
FOXO1,11.215059374559278,12.432587072878368,-1.2175276983190901,-6.903445067814835,6.048473116552358e-10,4.396207289591714e-09
MEIS1,11.261629724468344,12.590845311982807,-1.3292155875144633,-6.8886826048571965,8.475930540428995e-10,6.013874526304383e-09
NFATC1,7.718285617331543,8.43327592739765,-0.7149903100661072,-6.807542857102,1.024768992267179e-09,7.101887434781846e-09
OTX2,5.025322973392498,5.8407977224090155,-0.8154747490165173,-6.813811192140393,1.1350803926048003e-09,7.687589931732512e-09
TCF7,10.681793436987498,11.598318007154957,-0.9165245701674589,-6.630491244369265,1.342863003480867e-09,8.892737223051075e-09
FOXP1,30.391809917106844,32.19542661807167,-1.8036167009648274,-6.748207667085749,1.395315537618246e-09,9.039218048048636e-09
PGR,9.264014236598152,10.737075177384739,-1.4730609407865867,-6.762388556747974,2.1406799050047546e-09,1.3572821525349294e-08
SPIB,5.859147922270971,7.140981273680547,-1.2818333514095759,-6.7031434374046635,2.6087017845914843e-09,1.6143883212397195e-08
DUX4,7.591431367557804,8.436385761514359,-0.8449543939565549,-6.638355892177484,2.654531132239807e-09,1.6143883212397195e-08
MEIS2,12.575385386049733,14.143854176587535,-1.5684687905378016,-6.739447705350267,2.8474582399898753e-09,1.6970851110339656e-08
TEAD4,16.847643267632197,17.830636441051276,-0.9829931734190787,-6.551659512683347,3.3145146897771422e-09,1.9367164265756637e-08
RBPJ,10.215185029287833,11.256183915810947,-1.0409988865231146,-6.656372992213225,4.033584800634936e-09,2.3115543665177134e-08
FOXJ2,9.454639093218582,10.217381197891129,-0.7627421046725473,-6.559821176359631,4.207689958032058e-09,2.3658332216859492e-08
ATF7,11.102897023852433,11.766414440681665,-0.6635174168292313,-6.54539184758782,4.8224287901933415e-09,2.661266258291881e-08
TCF4,13.166371066451624,13.888873645153838,-0.7225025787022137,-6.264150981073136,5.369216987497291e-09,2.9091393859530778e-08
NR3C1,8.909617257683298,9.857561958256474,-0.947944700573176,-6.503147108341366,5.795615084439202e-09,3.084095169933719e-08
MAFB,11.50183733868431,12.59983917272997,-1.098001834045661,-6.446268562101472,6.198858571250728e-09,3.2408067618117846e-08
MEF2B,9.872775598424433,10.720012614790432,-0.8472370163659999,-6.443711861455494,7.283349526760084e-09,3.742134756852595e-08
NFIC,15.930162444513629,16.858192060433723,-0.928029615920094,-6.394803183243756,7.4273107654770504e-09,3.751421369681629e-08
NFE2,11.241980882487738,11.983740535505179,-0.7417596530174411,-6.378500611957282,8.229205292629668e-09,4.087171962006069e-08
PBX3,12.149764857805902,14.08544286109586,-1.9356780032899579,-6.464734386915416,9.57092299857413e-09,4.675631235369001e-08
SOX2,22.48103655164462,25.48093158489196,-2.9998950332473378,-6.393524695112879,9.91757176860577e-09,4.76683288232987e-08
GATA3,37.51513999186455,40.17411105610526,-2.65897106424071,-6.311489632318783,1.076051426777315e-08,5.089894050470474e-08
TEAD1,21.31100501812088,23.770001563504405,-2.458996545383524,-6.372819497788452,1.2096778391090158e-08,5.6325624383513546e-08
RUNX3,9.938664059883067,11.663096336484667,-1.7244322766016005,-6.306262407407146,1.4198058822842425e-08,6.509263891087759e-08
FOXO3,7.634431883444242,8.27166019173716,-0.6372283082929178,-6.17624462757765,1.5026434115113552e-08,6.784662676217938e-08
HOXB13,7.059445014616609,8.150069311276155,-1.0906242966595467,-6.320394694313847,1.5424404309901912e-08,6.86040669306085e-08
