TF,Mean_Act_CIN,Mean_Act_GS,Delta_Activity,p_value,q_value
CTCF,-0.2973177098298839,2.7036567892629737,-3.0009744990928575,1.264677960711513e-07,8.773703352436121e-07
RUNX2,-0.09568713445177442,1.5707606419587006,-1.666447776410475,1.3754933568297485e-07,9.31572040122211e-07
POU5F1,-0.3530936486314484,1.2602538594296149,-1.6133475080610633,1.3987568170003169e-07,9.31572040122211e-07
LYL1,-0.6919883163683243,2.3735784844579917,-3.065566800826316,1.5465380378188495e-07,1.0097983658699547e-06
SRF,-0.42959954846590365,3.1199705333945325,-3.549570081860436,2.0519413829050152e-07,1.310753873322635e-06
NR2F2,-0.3347715476431968,1.7519049695591553,-2.0866765172023523,2.086184843426416e-07,1.310753873322635e-06
PRDM14,-0.03519528147243778,2.7229502927726266,-2.7581455742450642,2.1563362126417474e-07,1.3297406644624108e-06
POU2F2,-0.8646154691353658,1.3756375494282447,-2.2402530185636103,2.2658547285821506e-07,1.3718720447597385e-06
TGIF2,0.4624579104485209,-0.6859869601488265,1.1484448705973476,2.3418324598710445e-07,1.392553944887603e-06
MEIS1,-0.2690493639197128,1.9326797682276091,-2.201729132147322,3.0448859523029723e-07,1.7788544247664732e-06
POU2F1,-0.06559732248696354,0.7900335005757229,-0.8556308230626863,3.412961634490194e-07,1.9595107315262668e-06
ZEB2,-0.19545121568695417,2.1947028191693625,-2.390154034856317,3.642200453230009e-07,2.0556826286874457e-06
RBPJ,-0.4400281232819593,1.1055164756661742,-1.5455445989481333,4.2821878256946267e-07,2.376614243260518e-06
DUX4,-0.4578043676562762,1.1197060370940968,-1.577510404750373,4.641593388553122e-07,2.5338534399806386e-06
ASCL1,0.028409417842126368,1.147759672994899,-1.1193502551527725,5.449677847080523e-07,2.8805440048854194e-06
TCF12,-0.407239404290949,2.4279097690262343,-2.835149173317183,5.449677847080523e-07,2.8805440048854194e-06
MAFB,-0.199039247366273,1.7981861977897073,-1.9972254451559803,6.495081141059645e-07,3.3794719062075967e-06
FOXP2,-0.6192327971662615,0.8932666286242559,-1.5124994257905173,6.704861710359378e-07,3.43495223007642e-06
GATA3,0.050760850099124843,4.183238799153905,-4.13247794905478,7.031821059414893e-07,3.5478733527047867e-06
POU4F2,-0.11881048030065317,1.3022068566032023,-1.4210173369038555,7.144181922239044e-07,3.5507650449337338e-06
ETV4,-0.6900305750356914,1.0409975264023286,-1.73102810143802,9.05200909175728e-07,4.432822099345844e-06
ATF4,0.3296173570245905,-0.8459800096745391,1.1755973666991295,9.340775866239262e-07,4.507939657185035e-06
ZHX2,-0.05517643701277456,0.8712861996936261,-0.9264626367064006,1.0102019654416994e-06,4.8056750641726556e-06
BHLHE22,-0.22553637307104066,1.0673905081429764,-1.292926881214017,1.075367156067013e-06,5.0436234221171175e-06
AHR,-0.19240892089905964,1.5721803327627275,-1.764589253661787,1.2180436888429737e-06,5.6334520608987525e-06
PAX6,0.3940010570839309,1.5094249894968836,-1.1154239324129527,1.2371097303455635e-06,5.643253975411954e-06
OTX2,-0.26132120755105814,0.8320223115890161,-1.0933435191400742,1.3162848035393646e-06,5.923281615927141e-06
TBX21,-1.0964765923073698,1.2083577217593824,-2.304834314066752,1.7105742209163584e-06,7.594949540868631e-06
RARB,-0.1500886311045242,0.65286233672943,-0.8029509678339541,1.9039849280952087e-06,8.342460277048743e-06
POU1F1,-0.11898919258999183,0.6358795277165628,-0.7548687203065546,1.962996913251676e-06,8.489324313153352e-06
RELB,-0.35442471383924934,1.0406661308342224,-1.3950908446734718,2.150763109085626e-06,9.182104042634787e-06
NANOG,-0.4465524521462552,0.7900879728567736,-1.2366404250030287,2.391646185328539e-06,1.008124278119498e-05
RUNX3,-0.7080319240628306,1.7624197940328064,-2.470451718095637,2.4281045275520246e-06,1.0106985095935303e-05
PGR,-0.12574936289151653,2.146855036107271,-2.2726043989987876,2.502628339232404e-06,1.0288583172399884e-05
NR3C1,-0.19203030132441448,1.3891180408786936,-1.581148342203108,2.6986670663741983e-06,1.0959221135397658e-05
E2F1,-0.06322278286816824,-1.9107771456445843,1.8475543627764162,2.8232766134261426e-06,1.1327121834589223e-05
EHF,0.4376291717840759,-0.7057282804549606,1.1433574522390364,3.379190265070327e-06,1.3396075693671654e-05
MEIS2,-0.2074927288533083,2.3164084701796,-2.5239011990329083,3.5867853432670606e-06,1.4051759050681542e-05
SREBF2,0.37553606266932843,-1.428729037032663,1.8042650997019916,3.6951149294148414e-06,1.4307828738315606e-05
BACH2,-0.28632271387691033,0.9053933436349874,-1.1917160575118977,4.5461278358920416e-06,1.740069619944885e-05
NR4A1,-0.016234840962649544,0.7832933394981387,-0.7995281804607883,4.682063433802027e-06,1.771735367563722e-05
LHX2,-0.05603171523933065,0.8771345526165765,-0.9331662678559072,4.893290887076639e-06,1.8308605229174386e-05
TEAD1,-0.2952757447451385,3.5737820355398457,-3.8690577802849844,5.039147141769769e-06,1.8509108590453102e-05
ZEB1,-0.03420266374617058,0.9346790121518166,-0.9688816758979871,5.11362759856362e-06,1.8509108590453102e-05
SALL4,-0.06520464128945638,0.6436337346789975,-0.7088383759684539,5.11362759856362e-06,1.8509108590453102e-05
KMT2B,0.0519249267571447,-0.9882411461615737,1.0401660729187183,5.7486104768428365e-06,2.058373428805016e-05
BCL11A,-0.1786272695104486,0.9268554934958552,-1.1054827630063038,5.918773256014133e-06,2.0967569087794746e-05
SMAD3,-0.06889451581065048,1.5745383882299506,-1.643432904040601,7.148136185928634e-06,2.5056098420149843e-05
REST,-0.018687743090405485,0.5719102874695737,-0.5905980305599792,7.464691729432957e-06,2.589314943647057e-05
TEAD2,0.020950917721950513,1.032225629637043,-1.0112747119150924,7.68312893098773e-06,2.6376102412566125e-05
GATA4,-1.3720240373073174,0.2594250408630801,-1.6314490781703974,9.527529737494719e-06,3.204714548066405e-05
GATA1,-0.3418746488764771,0.7856513130414811,-1.127525961917958,9.527529737494719e-06,3.204714548066405e-05
NFKB2,-0.07585664481728466,1.014384186487175,-1.0902408313044596,1.008667149578448e-05,3.358861608096232e-05
FOS,-0.03515023831414485,2.5680857604339,-2.6032359987480445,1.0377862836856973e-05,3.4216122026469034e-05
NFIC,-0.18546206361672052,1.2543534636953846,-1.4398155273121052,1.1461554637700975e-05,3.741860484661201e-05
RARA,-0.17782597846416637,1.0661621491802638,-1.24398812764443,1.2300876579987674e-05,3.976885340908636e-05
STAT3,-0.40980882301231414,1.05709032690993,-1.4668991499222441,1.4358591049092524e-05,4.597510403219048e-05
HOXB13,-0.172949031591624,1.5373766072003727,-1.7103256387919967,1.456112756514801e-05,4.617957599232655e-05
RXRA,-0.05873345128388305,0.7723335510556747,-0.8310670023395578,1.5615347545188418e-05,4.859729656586676e-05
MAF,-0.3713072066253785,0.722219170355335,-1.0935263769807135,1.5615347545188418e-05,4.859729656586676e-05
ONECUT1,-0.16216528937975472,1.2852962236671073,-1.447461513046862,1.6742085882555696e-05,5.162143147121339e-05
JUNB,0.2658161025968719,1.1803298088196064,-0.9145137062227344,1.7214130408220347e-05,5.258995803612271e-05
JUND,-0.2820628774033908,0.4308980504631275,-0.7129609278665183,1.745488243561425e-05,5.284068955508678e-05
PAX5,-0.5407077858017086,0.8411731410486647,-1.3818809268503733,1.819653759947985e-05,5.458961279843955e-05
MAFF,-0.1610466129702216,0.8811793783245143,-1.0422259912947358,1.8707549776410743e-05,5.5621554245935505e-05
PBX3,-0.11398759053413374,2.539333628412964,-2.653321218947098,2.0605877620588002e-05,6.072351546598057e-05
HHEX,0.2933895998571054,0.9960260434660192,-0.7026364436089139,2.2072642066057786e-05,6.447534919295828e-05
SOX11,0.07381526697613044,1.6124555507094298,-1.5386402837332993,2.2999844865583606e-05,6.602541672620121e-05
