Experiment,Model,10CV_ROC_AUC,10CV_ROC_AUC_std,10CV_PR_AUC,10CV_Bal_Acc,Test_ROC_AUC,Test_PR_AUC,Test_Bal_Acc,Test_F1
With CNA Burden,Random Forest,0.9742272727272727,0.03788033027162782,0.989985236985237,0.9174999999999999,0.9790209790209791,0.9927884615384615,0.8444055944055944,0.9259259259259259
With CNA Burden,XGBoost,0.9875,0.030103986446980733,0.994820707070707,0.9674999999999999,0.986013986013986,0.9948717948717949,0.9807692307692308,0.9803921568627451
With CNA Burden,LightGBM,0.9924999999999999,0.01145643923738961,0.9972727272727271,0.945,0.9825174825174825,0.9937965260545903,0.9807692307692308,0.9803921568627451
With CNA Burden,Logistic Regression,0.9769545454545454,0.020928893784462724,0.9908705234159779,0.8924999999999998,0.9895104895104896,0.9960212201591511,0.8898601398601399,0.9433962264150944
With CNA Burden,Support Vector Machine,0.9396363636363636,0.046181370792392706,0.9735960251869343,0.8404545454545455,0.9615384615384616,0.9845499136878446,0.8444055944055944,0.9259259259259259
