Feature,Mean_Abs_SHAP
CNA_Gain_LINC01270,0.022417197088117773
mRNA_SH3BP5,0.01933804783949488
TF_GLI1,0.018600003243813754
CNA_Gain_B4GALT5,0.018146384964732445
CNA_Gain_PARD6B,0.017441714002607543
mRNA_AURKA,0.016544476150910464
mRNA_ANLN,0.016139668823719675
CNA_Gain_TSHZ2,0.01369864638818312
CNA_Gain_KCNB1,0.013634586997362346
CNA_Loss_LOC100288255,0.013284218874928023
TF_EBF1,0.012409223395722315
CNA_Gain_ZNF217,0.011864172120191004
TF_DNMT1,0.011804648276689738
TF_TCF7,0.010879589878420384
CNA_Loss_LOC339975,0.01061799351561309
mRNA_SEPTIN6,0.010516633434138145
CNA_Loss_TRIML2,0.01020443759738623
CNA_Gain_SLC9A8,0.0101648619644659
mRNA_CSE1L,0.009840078154673205
CNA_Loss_ZFP42,0.009505237684757797
mRNA_MOB3A,0.009444817350893276
mRNA_GRB7,0.009394991291899819
mRNA_RAE1,0.009215651878349053
CNA_Loss_TRIML1,0.009064713953078993
TF_IRF4,0.008695713004711664
mRNA_YTHDF1,0.008323763508899979
mRNA_TSPAN11,0.00820414834578159
CNA_Gain_SUMO1P1,0.00813169627376993
CNA_Loss_HSP90AA4P,0.007722163074792238
CNA_Gain_MIR4756,0.007673885153007808
TF_SPIB,0.00740423184181331
TF_E2F3,0.007396790707760845
mRNA_DDX27,0.0072816464123209735
TF_TP53,0.007240813052248313
CNA_Gain_BCAS1,0.0071230741617704435
CNA_Loss_LINC01060,0.00700699277233324
mRNA_DTX1,0.006291798935523473
TF_PRDM1,0.005735340133171539
TF_ATF6,0.0054463672631630865
TF_THAP11,0.0052260219538343925
mRNA_WIPF1,0.004893992525802699
mRNA_TPX2,0.004782175814407656
mRNA_UBE2C,0.00474488718874266
mRNA_MEOX2,0.004694498428641285
mRNA_GGH,0.004101540614843708
TF_FOXO1,0.004019948511238088
CNA_Loss_FRG2,0.0037990738685783135
mRNA_CPXM1,0.00377106340352346
mRNA_PRC1,0.0034820335287986063
TF_MEF2C,0.0033211279966977375
mRNA_TOP2A,0.003295066587158351
mRNA_CCDC80,0.0032779754159007095
CNA_Loss_FRG1,0.0032652942561077905
CNA_Loss_FAM190A,0.003258413922353727
TF_SPI1,0.0031950436913495504
mRNA_CD79B,0.0031122097451904093
TF_E2F2,0.003110600070526647
mRNA_RASSF2,0.0030000817387258604
mRNA_MDFIC,0.00296899378419075
TF_TP73,0.002922508149326706
TF_STAT5B,0.0026512675972632346
mRNA_MEF2C,0.00264912648895442
mRNA_OLFML1,0.0026171350460129227
mRNA_TOMM34,0.0026100185906996203
mRNA_PTPRCAP,0.00259999285970849
mRNA_TCF4,0.002425406989144434
mRNA_BAMBI,0.0024102163078382087
mRNA_TNFRSF13C,0.0022765457649961615
TF_PKNOX1,0.0022745131964890712
TF_TFDP1,0.002261047915522161
mRNA_SELP,0.0022521520566118848
mRNA_PIGU,0.002110251908012138
TF_NR2C2,0.002109335527828698
TF_ERG,0.0020810283316855874
mRNA_CXCR5,0.0019565912774463165
TF_SOX10,0.001948429501315113
mRNA_CD37,0.0017816664331936796
mRNA_EBF1,0.0017498512426500203
TF_SIX2,0.001740987664276656
mRNA_FLI1,0.0016318516167131572
TF_TEAD4,0.0016129283307521846
mRNA_BOC,0.0016118112193666816
mRNA_MAP4K1,0.001587986375719988
mRNA_VPREB3,0.0015462211932281006
TF_MEF2A,0.0013465552415715518
TF_RUNX1,0.0012092295547033787
mRNA_NOTUM,0.0011624463036165652
mRNA_CCNE1,0.001159738408033377
mRNA_TTC28,0.0011256980055810888
TF_E2F4,0.0010784284240685337
mRNA_SRPX,0.0008256666659743824
TF_TAL1,0.0007759685590134768
mRNA_ITIH5,0.0007253045363896765
mRNA_ZEB2,0.0006430729015674764
TF_MEF2B,0.0006410398995292517
TF_YBX1,0.0005110650565932766
