covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),exp(coef) 95% CI
AGE,0.006304970481105558,1.0063248886466343,0.01962688998938413,-0.032163027026617066,0.04477296798882818,0.9683487022005555,1.0457904050558866,0.0,0.3212414439840349,0.7480274273671025,0.4188369255751657,1.01 (0.97-1.05)
SUBTYPE_CIN_VS_GS,0.22684590742179161,1.2546365228676184,0.3822765594709887,-0.5224023812752303,0.9760941961188137,0.5930939971835638,2.6540696955092544,0.0,0.5934078399567869,0.5529082433573758,0.8548880137706465,1.25 (0.59-2.65)
SEX_Male,0.3046604101308145,1.356164385113931,0.37563929102212407,-0.4315790714507087,1.0408998917123378,0.6494827049680649,2.8317641491960575,0.0,0.8110451100624373,0.4173397657718958,1.260705702087131,1.36 (0.65-2.83)
STAGE_SIMPLIFIED_Stage II,-0.2333020036008102,0.7919143764137274,0.45289264415719677,-1.1209552750120304,0.65435126781041,0.3259682565142822,1.9238940204696444,0.0,-0.5151375422203418,0.6064569101690636,0.7215229519221803,0.79 (0.33-1.92)
STAGE_SIMPLIFIED_Stage III,0.27870273369014253,1.3214144734745439,0.43430943526598403,-0.5725281175771162,1.1299335849574013,0.5640975296192022,3.0954509087936386,0.0,0.6417146648436424,0.5210584656882636,0.9404828348093477,1.32 (0.56-3.10)
STAGE_SIMPLIFIED_Stage IV,1.0006392742334205,2.7200201115517513,0.6822546301185954,-0.3365552290847227,2.3378337775515634,0.7142264364144782,10.358772834547551,0.0,1.4666654208846932,0.14246709388648468,2.8112993613567796,2.72 (0.71-10.36)
LAUREN_CLASS_Intestinal,-0.38472856765051744,0.680635357588025,0.4023558231363839,-1.1733314899677976,0.4038743546667628,0.30933467735749265,1.4976157667043322,0.0,-0.956189883500477,0.3389763100662657,1.5607436431899337,0.68 (0.31-1.50)
LAUREN_CLASS_Mixed,0.45159332998905355,1.570813016122659,0.5605235816331238,-0.6470127024972661,1.5501993624753732,0.523607614481729,4.712409566584837,0.0,0.8056633918475036,0.4204369631332965,1.2500385840437256,1.57 (0.52-4.71)
LAUREN_CLASS_Unknown,-17.46647526867822,2.5966066949006447e-08,4.472135782790937,-26.2317003369213,-8.701250200435142,4.0524465251009695e-12,0.0001663776754669171,0.0,-3.905622753202246,9.398303436932208e-05,13.377240126586026,0.00 (0.00-0.00)
