SV_Event,CIN_Count,CIN_Pct,GS_Count,GS_Pct,Odds_Ratio,Fisher_Pval
SV_CLDN18_Fusion,2,1.4705882352941175,8,14.814814814814813,0.08582089552238806,0.0007755767006099955
SV_MYLK_Fusion,7,5.147058823529411,0,0.0,inf,0.1944217663832119
SV_CDKN2A_Silenced,13,9.558823529411764,6,11.11111111111111,0.8455284552845529,0.7903789467077895
