Experiment,Model,10CV_ROC_AUC,10CV_ROC_AUC_std,10CV_PR_AUC,10CV_Bal_Acc,Test_ROC_AUC,Test_PR_AUC,Test_Bal_Acc,Test_F1
Without CNA Burden,Random Forest,0.9413636363636364,0.04864698269800331,0.9762071917981008,0.828409090909091,0.9615384615384616,0.986182151182151,0.708041958041958,0.8771929824561403
Without CNA Burden,XGBoost,0.9279090909090909,0.06468716837260781,0.9702785598240142,0.8738636363636363,0.9545454545454545,0.9843973231070003,0.7342657342657343,0.8727272727272727
Without CNA Burden,LightGBM,0.9363636363636363,0.06081437683436429,0.9743745471700018,0.8334090909090909,0.951048951048951,0.9824726555495785,0.7342657342657343,0.8727272727272727
Without CNA Burden,Logistic Regression,0.9336818181818181,0.06586093852307676,0.966565689361144,0.8699999999999999,0.951048951048951,0.981817061143984,0.7342657342657343,0.8727272727272727
Without CNA Burden,Support Vector Machine,0.9261363636363636,0.06370361705936546,0.9659701510610601,0.8209090909090909,0.916083916083916,0.9647917224243482,0.8181818181818181,0.9285714285714286
