Feature,Mean_Abs_SHAP
CNA_Burden,0.10676730808916587
TF_GLI1,0.019516506769906395
CNA_Gain_B4GALT5,0.017561124296827588
CNA_Gain_ZNF217,0.015624638610873228
CNA_Gain_LINC01270,0.015462035329964563
CNA_Gain_PARD6B,0.015271317261128292
mRNA_SH3BP5,0.014469250423901684
CNA_Loss_TRIML1,0.013674850003769836
mRNA_AURKA,0.01198602668245279
CNA_Loss_LOC339975,0.011111737043508603
CNA_Gain_KCNB1,0.01091896569485657
CNA_Loss_FRG1,0.010903215449923117
CNA_Gain_SLC9A8,0.01077261299780436
mRNA_SEPTIN6,0.010696735842241581
CNA_Gain_TSHZ2,0.010123014250176197
CNA_Loss_LOC100288255,0.009676016497065001
mRNA_DDX27,0.008826369284130919
CNA_Gain_BCAS1,0.008782796657930293
TF_DNMT1,0.008632586552235842
mRNA_ANLN,0.007968099459373601
CNA_Loss_TRIML2,0.006896528352960974
CNA_Loss_FRG2,0.006861395081333465
mRNA_DTX1,0.006855727429056316
CNA_Gain_MIR4756,0.006694015440314078
mRNA_WIPF1,0.006322131994172476
TF_TP53,0.0061862399487180334
TF_PRDM1,0.00588492973628498
CNA_Loss_ZFP42,0.005705540143454526
mRNA_RAE1,0.005677940877064503
TF_TCF7,0.005549714215022751
mRNA_TSPAN11,0.005484121600356374
TF_EBF1,0.005463963204622446
TF_ATF6,0.005303198803121143
CNA_Loss_HSP90AA4P,0.005285991980689494
mRNA_GGH,0.005273540426397801
mRNA_MEOX2,0.005202187290379088
mRNA_MOB3A,0.005101313674307507
TF_YBX1,0.004996240041525047
TF_PKNOX1,0.004733984534892132
mRNA_GRB7,0.004695404701884562
CNA_Gain_SUMO1P1,0.004602558221512484
TF_IRF4,0.004404817650654333
mRNA_RASSF2,0.004053022472367521
mRNA_CSE1L,0.003959607330798172
mRNA_TNFRSF13C,0.0037946171609492562
mRNA_TPX2,0.0033992252146234346
TF_SPIB,0.0033352377614272355
mRNA_CPXM1,0.0032882396526381775
TF_MEF2C,0.0032199078126677392
TF_E2F2,0.00316677069589447
TF_E2F3,0.0031596900221297583
CNA_Loss_LINC01060,0.0030490465944104025
mRNA_FLI1,0.003001232638171091
mRNA_UBE2C,0.0028248607007286246
TF_THAP11,0.002809371401871536
mRNA_PRC1,0.0026933880053784014
TF_FOXO1,0.0026529232101097492
TF_STAT5B,0.00245335974475893
mRNA_YTHDF1,0.0024386450634106276
mRNA_CCDC80,0.0024007059883592763
mRNA_ZEB2,0.002327010088902208
TF_TP73,0.0023253382137790424
TF_SPI1,0.002256672370819749
CNA_Loss_FAM190A,0.00214246265271794
mRNA_MDFIC,0.002141732473458323
mRNA_MEF2C,0.002115126557438356
mRNA_CD79B,0.00194539642612076
TF_MEF2A,0.001940051000212848
mRNA_SRPX,0.0019128163477407157
TF_SOX10,0.001903561085189533
TF_E2F4,0.0018941973650691564
mRNA_OLFML1,0.0017941214223948089
mRNA_VPREB3,0.001785502655311522
mRNA_ITIH5,0.0016151791505457267
mRNA_CD37,0.0015940011264606543
mRNA_PIGU,0.0015455561776117628
mRNA_TCF4,0.0015357062144009685
mRNA_CXCR5,0.00151905557149911
mRNA_NOTUM,0.0014990536133192317
mRNA_TOMM34,0.0014987945737093044
mRNA_BAMBI,0.001432945985766303
mRNA_CCNE1,0.0014298252292493398
mRNA_TOP2A,0.0013501747679597394
mRNA_BOC,0.001318499349417031
TF_TEAD4,0.0013010516965441814
mRNA_SELP,0.0011718821683422958
mRNA_EBF1,0.0011163455945749602
mRNA_PTPRCAP,0.0010677139473252468
TF_RUNX1,0.001053791135987489
TF_ERG,0.0009045072143038731
mRNA_MAP4K1,0.0008921560564617244
TF_MEF2B,0.0008838666579969182
TF_SIX2,0.0007566908565598221
TF_TAL1,0.0007016694547500013
TF_TFDP1,0.0006902969118327034
mRNA_TTC28,0.0005692480888364396
TF_NR2C2,0.0004634671150633898
