Gene,CIN_Amp_Pct,GS_Amp_Pct,CIN_Del_Pct,GS_Del_Pct,Pval_Amp
CCNE1,19.11764705882353,1.8867924528301887,0.7352941176470588,0.0,0.001089418214359972
ERBB2,22.058823529411764,3.7735849056603774,0.0,0.0,0.0020300110649107512
CDK6,13.970588235294118,0.0,0.7352941176470588,0.0,0.002118708581693503
MET,8.088235294117647,0.0,0.0,0.0,0.03603844822941454
MYC,18.38235294117647,7.547169811320755,0.0,0.0,0.07377549905536901
KRAS,12.5,3.7735849056603774,0.0,0.0,0.10444364471151443
EGFR,9.558823529411764,3.7735849056603774,0.7352941176470588,0.0,0.24104003066987834
CLDN18,2.2058823529411766,0.0,0.0,0.0,0.5606521138436031
FGFR2,7.352941176470589,7.547169811320755,0.0,0.0,1.0
TP53,0.0,0.0,0.7352941176470588,0.0,1.0
CDH1,0.0,0.0,1.4705882352941175,1.8867924528301887,1.0
CDKN2A,0.0,0.0,14.705882352941178,11.320754716981133,1.0
ARID1A,0.0,0.0,3.6764705882352944,0.0,1.0
RHOA,0.0,0.0,2.2058823529411766,3.7735849056603774,1.0
CCND1,8.823529411764707,7.547169811320755,0.7352941176470588,0.0,1.0
MDM2,4.411764705882353,3.7735849056603774,0.0,0.0,1.0
